kernel-module-i2c-emev2-6.13.1 kernel-module-i2c-emev2-6.13.1 linux-stable 6.13.1 9
kernel-module-governor-passive-6.13.1 kernel-module-governor-passive-6.13.1 linux-stable 6.13.1 9
kernel-module-ecdh-generic-6.13.1 kernel-module-ecdh-generic-6.13.1 linux-stable 6.13.1 9
kernel-module-crypto-simd-6.13.1 kernel-module-crypto-simd-6.13.1 linux-stable 6.13.1 9
kernel-module-crypto-null-6.13.1 kernel-module-crypto-null-6.13.1 linux-stable 6.13.1 9
kernel-module-crc32-arm-ce-6.13.1 kernel-module-crc32-arm-ce-6.13.1 linux-stable 6.13.1 9
kernel-module-cpufreq-conservative-6.13.1 kernel-module-cpufreq-conservative-6.13.1 linux-stable 6.13.1 9
kernel-module-capsule-loader-6.13.1 kernel-module-capsule-loader-6.13.1 linux-stable 6.13.1 9
kernel-module-authenc-6.13.1 kernel-module-authenc-6.13.1 linux-stable 6.13.1 9
init-system-helpers-service init-system-helpers-service init-system-helpers 1.66 9
u-boot-env u-boot-env u-boot 2024.01 8
kernel-module-usb-f-serial-6.13.1 kernel-module-usb-f-serial-6.13.1 linux-stable 6.13.1 8
kernel-module-usb-f-obex-6.13.1 kernel-module-usb-f-obex-6.13.1 linux-stable 6.13.1 8
kernel-module-tunnel6-6.13.1 kernel-module-tunnel6-6.13.1 linux-stable 6.13.1 8
kernel-module-thermal-generic-adc-6.13.1 kernel-module-thermal-generic-adc-6.13.1 linux-stable 6.13.1 8
kernel-module-sha2-arm-ce-6.13.1 kernel-module-sha2-arm-ce-6.13.1 linux-stable 6.13.1 8
